timestamp,test-class,test-method,time,description,result
2021-12-07 12:44:35.663,acme.testing.officer.DeleteDutyOfficerTest,negativeUpdate,438,"[1] title=Title of duty 01, executionPeriodInit=2020/05/10 19:39, executionPeriodEnd=2023/05/11 19:39, description=Description of duty 01, optionalLink=https://www.google.com, iter=0",OK
2021-12-07 12:44:39.68,acme.testing.officer.DeleteDutyOfficerTest,positiveDeleteDutyOfficer,3794,"[1] title=Updated title of duty 01, executionPeriodInit=2023/05/10 19:39, executionPeriodEnd=2023/05/11 19:39, description=Description of duty 01, optionalLink=https://www.google.com, iter=0",OK
2021-12-07 12:44:48.858,acme.testing.officer.ListDutiesOfficerTest,positiveListDuties,2537,"[1] title=Title of duty 01, executionPeriodInit=2023/05/10 19:39, executionPeriodEnd=2023/05/11 19:39, description=Description of duty 01, optionalLink=https://www.google.com, iter=0",OK
2021-12-07 12:44:51.685,acme.testing.officer.ListDutiesOfficerTest,positiveListDuties,2595,"[2] title=Title of duty 02, executionPeriodInit=2023/05/21 19:39, executionPeriodEnd=2023/05/21 19:39, description=Description of duty 02, optionalLink=https://www.google.com, iter=1",OK
2021-12-07 12:44:54.511,acme.testing.officer.ListDutiesOfficerTest,positiveListDuties,2594,"[3] title=Title of duty 03, executionPeriodInit=2023/05/10 23:30, executionPeriodEnd=2023/05/11 23:30, description=Description of duty 03, optionalLink=https://www.google.com, iter=2",OK
2021-12-07 12:44:57.255,acme.testing.officer.ListDutiesOfficerTest,positiveListDuties,2531,"[4] title=Title of duty 04, executionPeriodInit=2021/05/24 14:17, executionPeriodEnd=2021/05/24 14:18, description=Description of duty 04, optionalLink=https://www.google.com, iter=3",OK
2021-12-07 12:45:08.332,acme.testing.officer.UpdateDutyOfficerTest,negativeUpdate,3795,"[1] title=Title of duty 06, executionPeriodInit=2020/05/10 19:39, executionPeriodEnd=2020/06/11 19:39, description=Description of duty 06, optionalLink=https://www.google.com, iter=2",OK
2021-12-07 12:45:12.408,acme.testing.officer.UpdateDutyOfficerTest,negativeUpdate,3836,"[2] title=null, executionPeriodInit=2020/05/10 19:39, executionPeriodEnd=2020/06/11 19:39, description=Description of duty 06, optionalLink=https://www.google.com, iter=2",OK
2021-12-07 12:45:16.516,acme.testing.officer.UpdateDutyOfficerTest,negativeUpdate,3854,"[3] title=Title of duty 06, executionPeriodInit=2022/05/10 19:39, executionPeriodEnd=2022/06/10 19:39, description=null, optionalLink=https://www.google.com, iter=3",OK
2021-12-07 12:45:20.557,acme.testing.officer.UpdateDutyOfficerTest,negativeUpdate,3833,"[4] title=Title of duty 06, executionPeriodInit=2022/05/10 19:39, executionPeriodEnd=2022/06/10 19:39, description=Description of duty 06, optionalLink=test, iter=3",OK
2021-12-07 12:45:24.642,acme.testing.officer.UpdateDutyOfficerTest,negativeUpdate,3867,"[5] title=Title of duty 06, executionPeriodInit=2023/05/10 19:39, executionPeriodEnd=2022/06/10 19:39, description=Description of duty 06, optionalLink=https://www.google.com, iter=3",OK
2021-12-07 12:45:29.569,acme.testing.officer.UpdateDutyOfficerTest,positiveUpdatedutyofficer,4724,"[1] title=Updated title of duty 01, executionPeriodInit=2023/05/10 19:39, executionPeriodEnd=2023/05/11 19:39, description=Description of duty 01, optionalLink=https://www.google.com, iter=0",OK
2021-12-07 12:45:41.655,acme.testing.anonymous.PublishShoutAnonymousTest,positivePublishShout,3916,"[1] author=Antonio, text=Me gusta la cocacola, optionalLink=https://www.cocacola.es/es/home/",OK
2021-12-07 12:45:45.769,acme.testing.anonymous.PublishShoutAnonymousTest,positivePublishShout,3880,"[2] author=Antonio, text=Me gusta la cocacola, optionalLink=https://www.cocacola.es/es/home/",OK
2021-12-07 12:45:47.914,acme.testing.anonymous.PublishShoutAnonymousTest,negativePublishShout,1921,"[1] author=, text=Me gusta la cocacola, optionalLink=https://www.cocacola.es/es/home/",OK
2021-12-07 12:45:50.024,acme.testing.anonymous.PublishShoutAnonymousTest,negativePublishShout,1872,"[2] author=Antonio, text=null, optionalLink=https://www.cocacola.es/es/home/",OK
2021-12-07 12:45:52.115,acme.testing.anonymous.PublishShoutAnonymousTest,negativePublishShout,1868,"[3] author=Antonio, text=null, optionalLink=https://www.cocacola.es/es/home/",OK
2021-12-07 12:45:54.261,acme.testing.anonymous.PublishShoutAnonymousTest,negativePublishShout,1911,"[4] author=pene pene, text=pene pene pene pene, optionalLink=https://www.cocacola.es/es/home/",OK
2021-12-07 12:46:04.464,acme.testing.anonymous.ListDutiesAnonymousTest,positiveListDuties,2059,"[1] title=Title of duty 01, executionPeriodInit=2023/05/10 19:39, executionPeriodEnd=2023/05/11 19:39, description=Description of duty 01, optionalLink=https://www.google.com, iter=0",OK
2021-12-07 12:46:06.771,acme.testing.anonymous.ListDutiesAnonymousTest,positiveListDuties,2066,"[2] title=Title of duty 02, executionPeriodInit=2023/05/21 19:39, executionPeriodEnd=2023/05/21 19:39, description=Description of duty 02, optionalLink=https://www.google.com, iter=1",OK
2021-12-07 12:46:17.222,acme.testing.anonymous.ShowDutiesAnonymousTest,positiveShowDuty,2324,"[1] title=Title of duty 01, executionPeriodInit=2023/05/10 19:39, executionPeriodEnd=2023/05/11 19:39, description=Description of duty 01, optionalLink=https://www.google.com, iter=0",OK
2021-12-07 12:46:27.174,acme.testing.anonymous.ListShoutAnonymousTest,positiveListShout,1839,"[1] recordIndex=0, moment=2021/11/24 19:39, author=John Doe, optionalLink=I'm happy!",OK
2021-12-07 12:46:29.72,acme.testing.anonymous.ListShoutAnonymousTest,positiveListShout,1864,"[2] recordIndex=1, moment=2021/11/24 15:55, author=Jane Doe, optionalLink=I'm the master of my room!",OK
2021-12-07 12:46:38.3,acme.testing.administrator.DashBoardTest,positiveDashBoardList,2028,"[1] totalNumberOfPublicDuties=4, totalNumberOfPrivateDuties=0, totalNumberOfFinishedDuties=1, totalNumberOfNonFinishedDuties=3, AverageDutyExecutionPeriods=0.50, DeviationDutyExecutionPeriods=0.50, MinimumDutyExecutionPeriods=0.00, MaximumDutyExecutionPeriods=1.00, AverageDutyWorkloads=12.00, DeviationDutyWorkloads=12.00, MaximumDutyWorkloads=0.00, MinimumDutyWorkload=24.00",OK
2021-12-07 12:46:38.959,acme.testing.administrator.DashBoardTest,assertDashboardForAnonymousIsForbidden,428,"assertDashboardForAnonymousIsForbidden()",OK
2021-12-07 12:46:40.981,acme.testing.administrator.DashBoardTest,assertDashboardForOfficerIsForbidden,1810,"assertDashboardForOfficerIsForbidden()",OK
2021-12-07 12:46:44.556,acme.testing.administrator.DashBoardTest,assertDashboardForAuthenticatedIsForbidden,3327,"assertDashboardForAuthenticatedIsForbidden()",OK
2021-12-07 12:46:54.899,acme.testing.administrator.SpamListUpdateTest,negativeUpdate,3155,"[1] threshold=-1.0, lista=sex, hard core, viagra, cialis, nigeria, you’ve won, million dollar, sexo, duro, has ganado, millón de dolares, penis, pene",OK
2021-12-07 12:46:58.278,acme.testing.administrator.SpamListUpdateTest,negativeUpdate,3156,"[2] threshold=110, lista=sex, hard core, viagra, cialis, nigeria, you’ve won, million dollar, sexo, duro, has ganado, millón de dolares, penis, pene",OK
2021-12-07 12:47:02.532,acme.testing.administrator.SpamListUpdateTest,positiveUpdate,4022,"[1] threshold=8.00, lista=sex, hard core, viagra, cialis, nigeria, you’ve won, million dollar, sexo, duro, has ganado, millón de dolares, penis, pene",OK
2021-12-07 12:47:04.261,acme.testing.administrator.SpamListUpdateTest,negativeUpdateOfficer,1494,"[1] threshold=-1.0, lista=sex, hard core, viagra, cialis, nigeria, you’ve won, million dollar, sexo, duro, has ganado, millón de dolares, penis, pene",OK
2021-12-07 12:47:05.998,acme.testing.administrator.SpamListUpdateTest,negativeUpdateOfficer,1496,"[2] threshold=110, lista=sex, hard core, viagra, cialis, nigeria, you’ve won, million dollar, sexo, duro, has ganado, millón de dolares, penis, pene",OK
2021-12-07 12:47:06.432,acme.testing.administrator.SpamListUpdateTest,negativeUpdateAnonymous,200,"[1] threshold=-1.0, lista=sex, hard core, viagra, cialis, nigeria, you’ve won, million dollar, sexo, duro, has ganado, millón de dolares, penis, pene",OK
2021-12-07 12:47:06.89,acme.testing.administrator.SpamListUpdateTest,negativeUpdateAnonymous,220,"[2] threshold=110, lista=sex, hard core, viagra, cialis, nigeria, you’ve won, million dollar, sexo, duro, has ganado, millón de dolares, penis, pene",OK
2021-12-07 12:47:16.238,acme.testing.authenticated.ShowDutiesTest,positiveShowDuty,2753,"[1] title=Title of duty 04, executionPeriodInit=2021/05/24 14:17, executionPeriodEnd=2021/05/24 14:18, description=Description of duty 04, optionalLink=https://www.google.com, iter=0",OK
2021-12-07 12:47:19.242,acme.testing.authenticated.ShowDutiesTest,positiveShowDuty,2784,"[2] title=Title of duty 04, executionPeriodInit=2021/05/24 14:17, executionPeriodEnd=2021/05/24 14:18, description=Description of duty 04, optionalLink=https://www.google.com, iter=0",OK
2021-12-07 12:47:22.238,acme.testing.authenticated.ShowDutiesTest,positiveShowDuty,2744,"[3] title=Title of duty 04, executionPeriodInit=2021/05/24 14:17, executionPeriodEnd=2021/05/24 14:18, description=Description of duty 04, optionalLink=https://www.google.com, iter=0",OK
2021-12-07 12:47:32.605,acme.testing.authenticated.ListDutiesTest,positiveListDuties,3693,"[1] title=Title of duty 04, executionPeriodInit=2021/05/24 14:17, executionPeriodEnd=2021/05/24 14:18, description=Description of duty 04, optionalLink=https://www.google.com, iter=0",OK
2021-12-07 12:47:36.514,acme.testing.authenticated.ListDutiesTest,positiveListDuties,3687,"[2] title=Title of duty 04, executionPeriodInit=2021/05/24 14:17, executionPeriodEnd=2021/05/24 14:18, description=Description of duty 04, optionalLink=https://www.google.com, iter=0",OK
2021-12-07 12:47:40.421,acme.testing.authenticated.ListDutiesTest,positiveListDuties,3640,"[3] title=Title of duty 04, executionPeriodInit=2021/05/24 14:17, executionPeriodEnd=2021/05/24 14:18, description=Description of duty 04, optionalLink=https://www.google.com, iter=0",OK
2021-12-07 12:47:55.116,acme.testing.authenticated.BecomeOfficerTest,positiveBecomeOfficer,6447,"[1] company=company, sector=sector",OK
2021-12-07 12:48:00.204,acme.testing.authenticated.BecomeOfficerTest,testBecomeOfficerNegative,4848,"[1] company=, sector=sector",OK
2021-12-07 12:48:05.237,acme.testing.authenticated.BecomeOfficerTest,testBecomeOfficerNegative,4814,"[2] company=compañia, sector=null",OK
2021-12-07 12:48:10.28,acme.testing.authenticated.BecomeOfficerTest,testBecomeOfficerNegative,4822,"[3] company=null, sector=null",OK
2021-12-07 12:48:20.016,acme.testing.SignUpTest,positiveSignUp,3197,"[1] username=johnny, password=johnny, name=Johnny, surname=López, email=john@mail.com",OK
2021-12-07 12:48:23.877,acme.testing.SignUpTest,positiveSignUp,3624,"[2] username=lorraine, password=lorraine, name=Lorraine, surname=Williams, email=lorraine@yellow-house.com",OK
2021-12-07 12:48:27.246,acme.testing.SignUpTest,positiveSignUp,3147,"[3] username=leslie, password=leslie, name=Leslie Marti, surname=Ramport, email=leslie@us.es",OK
2021-12-07 12:48:30.634,acme.testing.SignUpTest,positiveSignUp,3167,"[4] username=robert, password=robert, name=Robert, surname=Johnson, email=robert@mail.server.com",OK
2021-12-07 12:48:34.1,acme.testing.SignUpTest,positiveSignUp,3215,"[5] username=pepeluis, password=pepeluis, name=José Luis, surname=Sørensen, email=ppepe.sorensen@sweden.sw",OK
2021-12-07 12:48:38.162,acme.testing.SignUpTest,positiveSignUp,3195,"[6] username=luisa, password=luisa, name=Luisa, surname=Martínez López, email=luisa@luisa.name",OK
2021-12-07 12:48:41.544,acme.testing.SignUpTest,positiveSignUp,3158,"[7] username=lukas, password=lukas, name=Lukas, surname=Smith, email=lukas@mail.com",OK
2021-12-07 12:48:45.042,acme.testing.SignUpTest,positiveSignUp,3259,"[8] username=mary-dt, password=mary-dt, name=Mary, surname=Design-Testing, email=mary@email.com",OK
2021-12-07 12:48:48.413,acme.testing.SignUpTest,positiveSignUp,3148,"[9] username=jorge, password=jorge, name=Jorge, surname=Libertad, email=jorge@yahoo.com",OK
2021-12-07 12:48:51.861,acme.testing.SignUpTest,positiveSignUp,3192,"[10] username=sonia, password=sonia, name=Snojia Guðrún, surname=Þor-Anaïs, email=sonja@liberty.de",OK
2021-12-07 12:48:55.902,acme.testing.SignUpTest,positiveSignUp,3803,"[11] username=parker, password=parker, name=Parker Sigurður, surname=Mañón-Perigüeñez, email=parker@outlook.com",OK
2021-12-07 12:48:59.407,acme.testing.SignUpTest,positiveSignUp,3269,"[12] username=manolo, password=manolo, name=Manuel Raúl, surname=Benítez López, email=manolo@engineer.com",OK
